"","Diego Martin","Curaguate","Las Cuevas","Yarra 1","Yarra 2","Damier 1","Damier 2","Marianne 16","Marianne 3","Marianne 4","Marianne 10","Marianne 11","Paria 12","Paria 3","Paria 13","Paria 7","Paria 8","Shark river","San Souci","Mission River","Tompire","Cumana","Arima 1","Arima 2","El cedro 1","El cedro 2","Guanapo 1","Guanapo 2","Aripo 1","Aripo 2","Quare 1","Quare 2","Turure 2","Turure 3","La Seiva","Matura","Faecal Dump Road","Poole River","Guayguayare Rd, pond","Basse Terre","Oropuche South","5th Company","Mondesir","Silver Stream","Morne River","Pitch Lake","Pitch lake","Vance River","Stollmeyer","Point Fortin 1","Point Fortin 2","Snake River","Windward Rd.","Barbados","P. picta"
" 8",12,0,0,5,2,5,1,0,0,0,0,0,0,0,3,4,6,0,4,3,0,0,21,7,28,19,0,15,24,10,5,2,10,9,4,0,10,2,2,0,1,0,1,0,0,2,1,0,0,0,0,2,0,4,1
"14",18,1,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,33,5,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,10,11,0,1,7,3,16,8,0,0,2,0,0,0,0,0,0,5,0,0,0
" 9",25,20,46,98,57,101,74,91,56,32,0,0,24,23,43,36,20,50,43,6,5,0,68,39,34,51,57,64,15,32,37,22,54,46,12,42,37,7,44,1,37,7,17,2,55,15,14,68,18,9,9,17,7,5,7
"15",14,0,0,4,18,36,20,9,61,33,36,18,17,9,35,32,20,1,22,0,0,0,16,0,0,2,28,5,1,4,0,2,3,5,3,2,6,2,2,0,1,4,0,1,4,0,1,0,1,8,4,0,1,0,1
"13",4,8,12,2,0,5,1,43,10,0,0,0,1,2,3,6,7,0,0,0,15,6,12,7,0,0,0,2,1,3,25,7,1,5,1,29,4,0,0,1,2,0,2,0,5,2,3,2,0,0,0,5,0,1,3
" 6",1,0,0,2,2,5,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,14,0,6,15,16,3,2,7,7,1,1,0,2,9,0,6,17,14,0,5,3,15,8,1,25,6,3,1,9,4,1,0
"10",1,0,0,0,0,5,6,0,0,0,8,5,0,0,2,8,0,0,16,18,1,0,1,30,1,1,0,9,7,0,0,3,17,19,11,0,5,2,2,0,1,2,5,0,21,2,1,20,7,8,7,0,0,0,0
" 7",0,7,15,3,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,20,3,0,0,0,0,0,0,0,0,0,6,2,1,10,1,23,0,0,25,5,0,3,0,0,2,0
" 3",0,1,0,96,48,57,59,9,61,31,1,0,24,27,32,33,20,1,7,0,0,0,5,0,0,0,0,2,0,0,2,4,0,0,2,1,0,1,9,0,7,2,0,0,0,6,5,0,0,0,0,0,0,0,0
" 5",0,4,6,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,20,3,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,3,3,0,0,3,0,1,11,1,0,0,1,0,0,0
"11",0,0,0,4,2,2,1,0,0,1,0,0,0,0,3,0,6,0,6,3,0,0,20,7,30,21,0,11,21,2,23,5,5,25,5,0,27,2,23,0,1,2,2,2,15,1,3,13,1,1,3,3,0,3,0
"12",0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,8,8,36,26,2,5,6,0,5,0,9,11,6,1,18,8,3,1,0,0,12,1,3,22,4,0,1,0,1,0,0
" 2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,0,2,0,0,0,9,23,13,1,4,2,0,1,1,1,11,9,3,0,0,9,0,0,23,8,0,0,0,0,0,3
" 4",0,0,0,0,0,2,1,64,0,0,38,26,0,0,0,0,0,0,0,0,22,0,11,0,0,14,1,15,1,7,2,2,11,3,9,0,2,0,6,5,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0
" 1",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,17,9,3,3,0,0,1,0,0,0,2,0,4,1,5,2,1,2,5,0,0,0,0,0,0,2,1,0,2
